customer_id,full_name,phone_number,email_address,city_id,current_address,annual_income,cibil_score,employemnet_type,employer_name,date_of_birth,gender,eduction_level
16,Harsh Murthy,919896960280,harsh.murthy91@outlook.com,1028,24 Mutti Chowk Bangalore-991183,670292.625,745,Self Employed,Independent Contractor,03-07-2002,Male,Masters
17,Yashica Lanka,919063511934,yashica.lanka380@hotmail.com,1022,H.No. 354 Sarma Street Pudukkottai-841241,214603.3438,681,Self Employed,Freelance Consultant,20-11-2004,Female,Masters
18,Damyanti Dugal,918982729635,damyanti.dugal333@hotmail.com,1013,"35/34 Suresh Circle, Faridabad 640052",613738,681,Private Employee,Tech Solutions Ltd,07-12-2001,Female,Diploma
19,Lekha Edwin,918638346838,lekha.edwin892@yahoo.com,1014,"01/12 Banik Circle, Ballia-620450",1091892.25,764,Self Employed,Freelance Consultant,05-03-2000,Female,Bachelors
20,Rachita Kade,918163464032,rachita.kade346@yahoo.com,1006,"H.No. 86, Dubey Ujjain-602563",1154321,626,Private Employee,TCS,06-11-2005,Female,Bachelors
21,Kiaan Dutta,917686424466,kiaan.dutta500@gmail.com,1008,H.No. 733 Palla Chowk Ambattur 036541,865839.5,686,Private Employee,Microsoft,09-09-1997,Male,Higher Secondary
22,Liam Panchal,917929447477,liam.panchal427@hotmail.com,1001,"H.No. 142 Lanka, Moradabad-556981",770519.875,748,Government Employee,Ministry of Education,16-12-1998,Male,Higher Secondary
23,Reyansh Gupta,918603546179,reyansh.gupta827@yahoo.com,1012,"60/883, Sankar Path, Bathinda 148465",375102.5938,553,Self Employed,Freelance Consultant,10-11-1998,Male,Masters
24,Tamanna Merchant,918342336360,tamanna.merchant650@hotmail.com,1029,"62, Mitra Motihari-443699",1191271.125,783,Private Employee,IBM,15-01-1994,Female,Masters
25,Oeshi Shroff,919617297746,oeshi.shroff243@yahoo.com,1006,"38/721 Varma Road, Tiruchirappalli-433200",354120.625,675,Student,Part-time Work,05-04-2004,Female,Masters
26,Jason Soman,918142492761,jason.soman69@hotmail.com,1015,93 Talwar Marg Latur 016328,434972.125,668,Private Employee,Amazon,04-09-1998,Male,Masters
27,Vedika Bedi,919665682275,vedika.bedi495@yahoo.com,1016,"27, Nadig Circle Pudukkottai-872774",324478.2188,650,Self Employed,Freelance Consultant,12-03-2004,Female,Higher Secondary
28,Krishna Malhotra,918269676403,krishna.malhotra752@gmail.com,1023,"H.No. 71, Keer Road, Thanjavur-812236",473033.5313,736,Private Employee,Accenture,18-10-1998,Female,Masters
29,Ganga Kala,917123786248,ganga.kala668@hotmail.com,1003,58 Sagar Chowk Tiruppur 690967,1117803.375,605,Self Employed,Self Employed,14-07-1996,Female,Bachelors
30,Aarush Pandey,918174897125,aarush.pandey467@outlook.com,1014,"88 Kannan, Muzaffarnagar 670656",891860.5625,671,Government Employee,State Government,13-11-2000,Male,Masters
31,Gayathri Sibal,919373292088,gayathri.sibal489@outlook.com,1008,"99, Chacko Nagar Bhavnagar-204653",692784.3125,773,Private Employee,Wipro,19-03-1997,Female,Bachelors
32,Vasana Narain,917148322343,vasana.narain660@outlook.com,1003,"H.No. 64 Singhal Zila, Panvel 531003",677713.875,722,Private Employee,Microsoft,21-01-2001,Female,Masters
33,Harish Bahri,919245325505,harish.bahri168@yahoo.com,1018,"719, Shroff Ganj Arrah-991241",234495.2813,551,Self Employed,Self Employed,24-01-2001,Male,Masters
34,Amara Muni,918788222144,amara.muni658@hotmail.com,1029,"31/931 Dara Road, Sri Ganganagar-518506",636448,612,Private Employee,Wipro,14-02-1998,Female,Masters
35,Yash Cherian,919395237035,yash.cherian25@gmail.com,1005,"72/628 Yohannan Road, Kirari Suleman Nagar-945314",1185479.875,680,Private Employee,Accenture,06-08-1996,Male,Bachelors
36,Umang Kohli,918699985771,umang.kohli20@outlook.com,1014,"H.No. 07 Gopal Path, Rajpur Sonarpur-454948",94512.03125,576,Student,Part-time Work,05-04-1996,Male,Bachelors
37,Aashi Varughese,917346292198,aashi.varughese596@outlook.com,1030,"678, Soni Ganj Sultan Pur Majra-143634",340046.4688,670,Private Employee,Wipro,02-02-2001,Female,Bachelors
38,Qarin Solanki,917865804917,qarin.solanki773@outlook.com,1028,"85/574 Krishnamurthy Road, Jamshedpur 518233",443968.4063,639,Self Employed,Freelance Consultant,21-01-2001,Male,Bachelors
39,Warhi Malhotra,918742428817,warhi.malhotra210@yahoo.com,1027,"435, Mittal Street, Deoghar 400842",300580.4375,689,Private Employee,Infosys,21-02-1999,Female,Bachelors
40,Yatan Chauhan,919548024434,yatan.chauhan838@outlook.com,1006,77 Gour Path Nizamabad 116719,1032492,698,Self Employed,Freelance Consultant,07-04-2004,Male,Bachelors
41,Avi Doshi,918434227096,avi.doshi212@hotmail.com,1001,H.No. 318 Kara Marg Hospet-496499,798237.6875,686,Government Employee,ISRO,07-05-2002,Male,Bachelors
42,Bhanumati Chaudhary,919864847611,bhanumati.chaudhary878@yahoo.com,1028,"H.No. 12, Ghose Ganj Sangli-Miraj & Kupwad-679740",712366.375,669,Self Employed,Self Employed,20-07-2000,Female,Masters
43,Jack Mani,919440017784,jack.mani985@yahoo.com,1014,"H.No. 349 Sandal Ganj, Tinsukia 242102",2768995.25,720,Business Owner,Own Business,02-10-1993,Male,Bachelors
44,Mitesh Mani,917150292711,mitesh.mani921@gmail.com,1019,"46, Tella Road, Bahraich-906594",330860.9063,656,Self Employed,Freelance Consultant,14-04-2003,Male,Bachelors
45,Amara Chand,919046572593,amara.chand179@gmail.com,1030,"49/027, Sathe Circle Bokaro-717565",2000969,701,Business Owner,Own Business,04-04-2005,Female,Bachelors
46,Naveen Cheema,919971264908,naveen.cheema157@yahoo.com,1029,74 Bansal Marg Hubli–Dharwad-451680,970731.8125,745,Government Employee,Ministry of Education,23-10-2000,Male,Bachelors
47,Vedhika Sachdev,917189123332,vedhika.sachdev673@gmail.com,1002,"59/77, Jani Nagar Jamalpur 477109",772013.0625,602,Private Employee,IBM,16-01-1993,Female,Masters
48,Kashvi Dutt,917008369099,kashvi.dutt666@gmail.com,1030,"61/31, Dalal Chowk, Panchkula 846773",648648,687,Self Employed,Independent Contractor,01-05-1996,Female,PhD
49,Vasatika Dhillon,917379743832,vasatika.dhillon613@outlook.com,1025,"82/14, Oak Marg, Delhi-499727",823423.6875,607,Self Employed,Freelance Consultant,16-12-2001,Female,PhD
50,Wyatt Pai,918748058782,wyatt.pai179@hotmail.com,1015,"53 Rajagopal Ganj, Bulandshahr 576627",615063.625,677,Self Employed,Freelance Consultant,12-11-1998,Male,Bachelors
51,Anita Date,918547600617,anita.date985@hotmail.com,1013,"18, Aurora Chowk, Alappuzha 174596",929555.125,658,Self Employed,Self Employed,05-05-2005,Female,Masters
52,Banjeet Narasimhan,919174769026,banjeet.narasimhan941@yahoo.com,1029,"78/091 Mani Ganj, Mysore-117240",1573500,684,Government Employee,DRDO,21-06-1998,Male,Bachelors
53,Arin Nair,917480520764,arin.nair514@gmail.com,1029,H.No. 56 Konda Street Buxar 221969,456161,563,Student,Internship,05-10-2005,Male,Bachelors
54,Jai Tank,918397957311,jai.tank750@outlook.com,1018,"47, Andra Road Tumkur-175946",1998199.75,808,Business Owner,Trading Company,22-09-1997,Male,Diploma
55,Ladli Shan,917668731479,ladli.shan855@yahoo.com,1008,"71, Raj Ganj, Ramgarh 406409",1449115.75,627,Self Employed,Independent Contractor,12-10-1996,Female,Bachelors
56,Aryan Taneja,919741256933,aryan.taneja99@yahoo.com,1004,"53/39, Devan Road, Thane 709521",1277168.5,621,Self Employed,Self Employed,03-03-2000,Male,Bachelors
57,Neelima Narain,918535512185,neelima.narain678@hotmail.com,1026,"285, Thaker Circle, Dehradun-745171",274676.8125,631,Self Employed,Self Employed,06-04-1994,Female,Masters
58,Ekta Kara,919640559526,ekta.kara608@gmail.com,1015,"H.No. 604 Dasgupta Circle, Arrah-965137",743013.4375,695,Private Employee,Tech Solutions Ltd,12-07-1998,Female,Higher Secondary
59,Amaira Narang,917420936068,amaira.narang433@outlook.com,1020,"74/612, Barad Nagar Kumbakonam-138267",610413.1875,750,Private Employee,Tech Solutions Ltd,01-06-1998,Female,Higher Secondary
60,Reva Zachariah,919711407770,reva.zachariah945@gmail.com,1017,"17, Reddy, Patna-377351",1429756.25,700,Business Owner,Family Business,25-08-1993,Female,Bachelors
61,Raksha Parmer,918763544042,raksha.parmer98@gmail.com,1006,H.No. 31 Chand Chowk Kavali 053293,1141996.25,781,Private Employee,Wipro,16-10-1996,Female,Masters
62,Bakhshi Johal,919300654751,bakhshi.johal670@gmail.com,1023,"H.No. 29, Malhotra Nagar Bikaner-210205",526538,727,Government Employee,Railway Department,03-08-2001,Male,Masters
63,Kashish Naik,919949815154,kashish.naik159@gmail.com,1021,"H.No. 02, Vora Marg Rajkot 758917",590018.625,722,Business Owner,Own Business,10-08-1995,Female,Bachelors
64,Zayan Kant,917959592967,zayan.kant349@hotmail.com,1023,00 Ratti Chowk Moradabad 711592,352279.4063,601,Self Employed,Self Employed,25-07-1993,Male,Masters
65,Bachittar Date,918846721961,bachittar.date22@outlook.com,1012,"98 Setty Road, Navi Mumbai 836736",1130122.875,629,Private Employee,Infosys,05-03-1994,Male,Bachelors
66,Omkaar Setty,919038501087,omkaar.setty411@yahoo.com,1010,"15/654 Dua Path, Jabalpur-116152",229826.8438,672,Self Employed,Self Employed,18-07-1997,Male,Bachelors
67,Ayushman Narayan,917286984909,ayushman.narayan995@yahoo.com,1029,H.No. 60 Muni Road Vasai-Virar 273158,1797806.75,637,Self Employed,Independent Contractor,06-10-1994,Male,Bachelors
68,Qarin Contractor,919191275255,qarin.contractor808@gmail.com,1023,"89, Bal, Bhopal 445502",557649.8125,674,Private Employee,Infosys,05-04-1996,Male,Masters
69,Eshana Rattan,919063255758,eshana.rattan821@yahoo.com,1021,"01/836, Setty Marg Sangli-Miraj & Kupwad 459910",545999.4375,648,Private Employee,Accenture,01-09-2002,Female,Masters
70,Garima Dugar,917304592812,garima.dugar150@yahoo.com,1009,"H.No. 76, Sathe Chowk Darbhanga 815614",852077.125,771,Private Employee,Wipro,04-04-2000,Female,Diploma
71,Yagnesh Vyas,917967836710,yagnesh.vyas848@outlook.com,1020,"690, Jayaraman Nagar, Rajpur Sonarpur 445107",425003.5938,789,Government Employee,Public Sector Bank,03-09-2000,Male,Bachelors
72,Upasna Gill,918931998014,upasna.gill621@yahoo.com,1009,38/85 Ranganathan Zila Junagadh-715969,646437,674,Private Employee,Wipro,25-06-1993,Female,Bachelors
73,Tanmayi Sahni,919576214947,tanmayi.sahni32@hotmail.com,1016,"05, Sharma Street, Hubli–Dharwad 136968",746554.0625,615,Private Employee,Infosys,06-11-2003,Female,Masters
74,Balveer Randhawa,918466656739,balveer.randhawa311@outlook.com,1004,"521 Comar Circle, Karnal 231243",971165.3125,761,Private Employee,IBM,02-11-2005,Male,Diploma
75,Harini Dua,919574153775,harini.dua677@yahoo.com,1008,"77/997, Naidu Saharanpur 177449",1107386.625,696,Self Employed,Freelance Consultant,13-08-2001,Female,Bachelors
76,Baghyawati Pandey,919553073805,baghyawati.pandey526@yahoo.com,1013,70 Pillay Nagar Solapur 998679,487910.7813,766,Government Employee,Railway Department,17-09-1998,Female,Diploma
77,Anvi Sengupta,918133485443,anvi.sengupta613@hotmail.com,1001,78/20 Chauhan Chowk Guwahati-037788,1176224,724,Private Employee,Accenture,07-10-1996,Female,Masters
78,Fariq Patla,917878168279,fariq.patla818@hotmail.com,1020,"65 Ben, Amritsar 186449",693535.875,710,Private Employee,Wipro,10-12-2005,Male,Bachelors
79,Falguni Nath,919134408418,falguni.nath384@yahoo.com,1021,"H.No. 46, Chad Street Karaikudi 528168",518295.375,827,Government Employee,Public Sector Bank,07-04-2003,Female,Bachelors
80,Radhika Badami,918617321553,radhika.badami833@hotmail.com,1007,"357 Kara Ganj, Bhatpara 418880",551325,624,Private Employee,TCS,18-08-2002,Female,Bachelors
81,Pahal Deep,918836988860,pahal.deep644@hotmail.com,1024,"292, Bassi Chowk, Bharatpur-794738",406062.9688,685,Government Employee,DRDO,18-08-2000,Female,Bachelors
82,Kashvi More,917176242312,kashvi.more868@gmail.com,1003,"H.No. 97, Manda Chowk, Ambala-239240",912522,798,Private Employee,IBM,04-06-1999,Female,Bachelors
83,Warda Prabhu,917042331617,warda.prabhu115@outlook.com,1019,"H.No. 12, Sengupta Road Junagadh 375060",563892.375,663,Self Employed,Independent Contractor,24-02-1995,Female,Masters
84,Siya Thakkar,918518491851,siya.thakkar861@yahoo.com,1013,"15, Bala Ganj, Navi Mumbai 220472",972985.25,785,Private Employee,Wipro,08-04-1999,Female,Bachelors
85,Vrinda Sen,917688894653,vrinda.sen94@outlook.com,1002,"H.No. 432, Wable Circle Bhubaneswar 341036",918877.4375,673,Self Employed,Freelance Consultant,06-04-2005,Female,Bachelors
86,Veer Bhatnagar,918025512512,veer.bhatnagar688@outlook.com,1012,80/89 Dhawan Ganj Haldia 953962,442840.875,685,Government Employee,Public Sector Bank,08-04-1999,Male,Masters
87,Chaman Viswanathan,918651309772,chaman.viswanathan872@hotmail.com,1024,"88/88, Ramakrishnan Nagar, Varanasi 540515",356093.6563,629,Private Employee,TCS,08-04-2000,Female,Masters
88,Kavya Chawla,919179950731,kavya.chawla631@hotmail.com,1023,"H.No. 585, Shetty Street, South Dumdum 170430",584623.5,604,Private Employee,Tech Solutions Ltd,16-11-1996,Female,Masters
89,Irya Barman,917889620495,irya.barman224@outlook.com,1020,"68/74 Halder Nagar, Raurkela Industrial Township 541566",558213.5,807,Government Employee,Railway Department,03-12-1995,Female,Bachelors
90,Thomas Raju,919772303698,thomas.raju715@gmail.com,1009,"75, Loke Circle, Khandwa 692845",1357144.875,765,Private Employee,Tech Solutions Ltd,08-05-2004,Male,Masters
91,Charan Buch,918878456986,charan.buch262@outlook.com,1015,"H.No. 79 Ganesan Marg, Etawah 059640",409271.3125,655,Private Employee,Accenture,12-10-1999,Male,Bachelors
92,Bishakha Ravi,917155878546,bishakha.ravi391@outlook.com,1006,"H.No. 297, Date Nagar, Noida 569092",1200706.875,715,Private Employee,TCS,06-03-2000,Female,Masters
93,Umang Prabhakar,918095840846,umang.prabhakar464@yahoo.com,1017,"H.No. 928 Rao Path, Alwar 102786",676960.4375,755,Government Employee,Railway Department,03-03-2004,Male,Bachelors
94,Dhriti Lala,919459337136,dhriti.lala671@yahoo.com,1002,"947 Das Ganj, Srinagar 271551",495053.25,724,Private Employee,IBM,08-03-1997,Female,Masters
95,Mohini Mital,917435983432,mohini.mital276@yahoo.com,1014,"H.No. 83, Iyer Zila Patiala-058957",722851.375,563,Self Employed,Independent Contractor,01-04-1995,Female,Bachelors
96,Eiravati Chadha,918397916736,eiravati.chadha876@yahoo.com,1013,78 Rout Marg Cuttack 177852,553200.0625,757,Private Employee,IBM,24-06-2001,Female,Masters
97,Gavin Dayal,918039062378,gavin.dayal883@outlook.com,1014,"H.No. 824, Edwin Street, Kamarhati-841438",511285.3125,769,Private Employee,IBM,02-09-2001,Male,Bachelors
98,Mahika Dass,918621028466,mahika.dass140@gmail.com,1013,"29/92, Nazareth Street, Bhopal 094396",620777.0625,558,Self Employed,Freelance Consultant,04-12-1995,Female,Bachelors
99,Amruta Tank,919231906168,amruta.tank363@hotmail.com,1016,"36 Setty Road, Allahabad 767735",682501.5625,842,Government Employee,Railway Department,18-07-2003,Female,Masters
100,Eshana Munshi,918578405915,eshana.munshi863@outlook.com,1015,"25 Cherian Circle, New Delhi 147321",797655.8125,769,Government Employee,Ministry of Education,28-09-1995,Female,Masters
101,Arya Mannan,918870619476,arya.mannan794@yahoo.com,1003,"259 Gupta Path, Panchkula-747016",687779.75,603,Private Employee,Tech Solutions Ltd,10-07-1999,Female,Diploma
102,Zayyan Shankar,919002953915,zayyan.shankar730@hotmail.com,1019,"50/04, Singhal Chowk Jorhat-162456",207019.3438,648,Private Employee,Microsoft,13-05-2003,Male,Diploma
103,Rajeshri Bath,918606470862,rajeshri.bath55@outlook.com,1030,"83/58, Borah Road, Dibrugarh-849912",573101.25,620,Private Employee,Tech Solutions Ltd,02-07-1995,Female,Diploma
104,Chasmum Ramesh,919059258639,chasmum.ramesh70@outlook.com,1006,"52/39 Ratti Circle, Ranchi 257872",1092504.875,830,Private Employee,Microsoft,10-10-1994,Female,Bachelors
105,Ekaraj Narang,918594577205,ekaraj.narang25@hotmail.com,1025,"94, Nayar, Phusro 705516",243234.7656,601,Self Employed,Freelance Consultant,05-02-1993,Male,Bachelors
106,Nikita Bala,918882904390,nikita.bala777@hotmail.com,1004,"99/309 Garde Chowk, Siliguri-091307",687995.625,624,Private Employee,Amazon,11-10-1998,Female,Masters
107,Naksh Sahota,918623175484,naksh.sahota339@hotmail.com,1020,36/897 Devi Nagar Kishanganj-786527,858911.1875,580,Self Employed,Independent Contractor,24-09-2003,Male,Masters
108,Zinal Oommen,917179923279,zinal.oommen46@outlook.com,1011,"73/34 Misra Circle, Bihar Sharif 375758",805954.8125,717,Business Owner,Own Business,25-03-1995,Female,Higher Secondary
109,Laksh Mani,918095851806,laksh.mani939@yahoo.com,1018,52 Basak Road Vijayawada 747338,659558.6875,709,Private Employee,TCS,07-10-1999,Male,Higher Secondary
110,Krishna Magar,919119490078,krishna.magar117@gmail.com,1021,"93/30, Kara Circle Faridabad-657120",289294.125,772,Government Employee,ISRO,24-05-1993,Male,Bachelors
111,Gaurangi Ray,918419915613,gaurangi.ray647@outlook.com,1011,"34/540 Kata Zila, Akola-206724",1475838.25,789,Business Owner,Trading Company,12-12-2002,Female,Bachelors
112,Anjali Andra,919185429801,anjali.andra308@hotmail.com,1027,"H.No. 47, Viswanathan Circle, Guntur 431527",367426.6875,705,Business Owner,Trading Company,25-10-2005,Female,Higher Secondary
113,Kabir Grewal,918068321652,kabir.grewal476@yahoo.com,1025,H.No. 93 Ravi Street Kottayam 161227,386092.2188,625,Business Owner,Own Business,26-05-2002,Male,Masters
114,Ojasvi Kothari,919847057976,ojasvi.kothari68@outlook.com,1017,37 Narayan Road Ballia 453017,402953.625,593,Private Employee,TCS,13-12-1999,Female,Bachelors
115,Nikita Dutta,919112525942,nikita.dutta951@hotmail.com,1017,"14/593 Deol Ganj, Jamnagar-956878",126725.7422,572,Student,Internship,16-07-1995,Female,Bachelors
116,Janani Kota,917355959916,janani.kota104@gmail.com,1010,51/91 Tiwari Nagar Chapra 258713,438862.6875,685,Government Employee,Ministry of Education,08-05-1996,Female,Masters
117,Yash Chand,917220580048,yash.chand3@hotmail.com,1023,"28, Shan Marg, Karaikudi-406403",374639.9375,759,Government Employee,State Government,14-09-1995,Male,Bachelors
118,Bina Bath,918330440818,bina.bath339@gmail.com,1010,"18/017 Mangat Nagar, Bokaro-656766",1912313.625,673,Business Owner,Own Business,22-11-1998,Female,Higher Secondary
119,Banjeet Zacharia,917461874216,banjeet.zacharia274@outlook.com,1029,H.No. 286 Datta Circle Delhi-478686,493117.875,548,Self Employed,Independent Contractor,01-10-1993,Male,PhD
120,Ishwar Kota,917412833077,ishwar.kota509@yahoo.com,1028,"431 Saini Nagar, New Delhi-119079",435986.375,672,Private Employee,IBM,05-05-2002,Male,Bachelors
121,Arunima Konda,918722685738,arunima.konda429@yahoo.com,1003,38 Bhalla Ganj Ambala 395995,1285111.875,743,Government Employee,Railway Department,23-03-2003,Female,Masters
122,Jagat Mittal,918928097540,jagat.mittal130@yahoo.com,1026,"44, Gill Nagar Miryalaguda-056856",128547.3438,713,Self Employed,Independent Contractor,05-08-1996,Male,Bachelors
123,Tara Dixit,919884674801,tara.dixit566@outlook.com,1024,"873 Mital Ganj, Madhyamgram 866882",452200.0938,732,Private Employee,Accenture,19-06-2004,Female,Diploma
124,Rishi Kibe,917801279776,rishi.kibe833@hotmail.com,1011,"H.No. 17, Chanda Path, Faridabad 699013",276195.8438,750,Private Employee,Tech Solutions Ltd,13-03-1998,Male,Masters
125,Janani Srinivas,918352005761,janani.srinivas982@yahoo.com,1026,H.No. 03 Dalal Ganj Latur-638546,277034.3125,759,Private Employee,TCS,28-12-2005,Female,Diploma
126,Viraj Walla,918030892558,viraj.walla526@hotmail.com,1023,"H.No. 58 Shukla Chowk, Nandyal 355609",607283.75,826,Government Employee,Railway Department,03-07-1997,Male,Diploma
127,Indrajit Dhingra,918448176310,indrajit.dhingra3@gmail.com,1010,99/64 Hayre Street Berhampur 937854,560135.3125,722,Private Employee,Tech Solutions Ltd,25-01-1999,Male,Masters
128,Yash Swaminathan,919270900193,yash.swaminathan605@yahoo.com,1017,"52/287, Bhargava Street, Aurangabad-062312",1318647.5,624,Self Employed,Freelance Consultant,11-03-1996,Male,Masters
129,Aayush Kamdar,918428529361,aayush.kamdar19@hotmail.com,1009,"H.No. 997 Babu Chowk, Katihar-008484",851936.5,658,Government Employee,DRDO,19-12-2000,Male,Masters
130,Abhiram Thakkar,919537868976,abhiram.thakkar229@hotmail.com,1026,"H.No. 182, Handa Ganj, Raichur-615679",765946.125,703,Business Owner,Family Business,15-07-2000,Male,Bachelors
131,Jairaj Kara,918929513766,jairaj.kara245@hotmail.com,1030,"01/666, Soni Circle, Bangalore 176591",602653.3125,608,Private Employee,TCS,19-11-1996,Male,Bachelors
132,Ansh Karpe,919748863468,ansh.karpe807@outlook.com,1004,H.No. 01 Bali Road Satna-392614,1073828.25,697,Self Employed,Independent Contractor,18-05-2005,Male,Masters
133,Gautami Khosla,919408423154,gautami.khosla744@outlook.com,1005,"21 Pal Circle, Navi Mumbai-315999",482835.625,517,Self Employed,Self Employed,18-04-2002,Female,Masters
134,Rushil Narain,918108931441,rushil.narain174@outlook.com,1018,73 Prashad Path Gaya 194311,1144267.125,610,Private Employee,IBM,14-11-1993,Male,Bachelors
135,Lipika Dube,919744581207,lipika.dube71@gmail.com,1029,"65/511, Morar Nagar, Karimnagar-121267",1108053.75,834,Private Employee,Wipro,06-12-1996,Female,Diploma
136,Samar Chauhan,918938282646,samar.chauhan346@gmail.com,1017,"H.No. 81, Nair Ahmedabad 661839",665304.6875,585,Self Employed,Independent Contractor,25-02-1996,Male,Masters
137,Yoshita Gara,918665934826,yoshita.gara826@yahoo.com,1014,"444, Dhingra Chowk, Rourkela-464715",292888.0625,679,Self Employed,Independent Contractor,16-02-2001,Female,Diploma
138,Jeremiah Koshy,917833955695,jeremiah.koshy491@outlook.com,1016,"12, Ahuja Road, Thoothukudi-575692",647555.125,737,Private Employee,TCS,03-02-2002,Male,Bachelors
139,Netra Nagi,919076286511,netra.nagi793@gmail.com,1005,H.No. 26 Manne Path Ramgarh-564651,1250815.125,614,Self Employed,Independent Contractor,04-07-2005,Female,Bachelors
140,Irya Gole,917807799729,irya.gole4@outlook.com,1018,37/416 Dewan Chowk New Delhi 266179,876048.25,607,Private Employee,TCS,13-08-2001,Female,Higher Secondary
141,Wakeeta Rattan,917575867556,wakeeta.rattan864@gmail.com,1002,"H.No. 89, Chopra Zila, Raichur-909656",510374.2188,642,Self Employed,Independent Contractor,14-06-2003,Female,Masters
142,Chatresh Anne,917139500950,chatresh.anne806@outlook.com,1016,888 Kant Dindigul 798250,1160255.375,749,Government Employee,State Government,16-03-2002,Male,Bachelors
143,Warhi Cheema,919988896842,warhi.cheema265@hotmail.com,1023,"H.No. 125 Oza Road, Tiruppur 571775",805970.6875,799,Private Employee,Wipro,28-01-1997,Female,Bachelors
144,Bhavna Mital,918407692034,bhavna.mital190@gmail.com,1023,"H.No. 512, Varty Ganj Suryapet 586736",338169.8438,526,Private Employee,Wipro,12-09-1994,Female,Diploma
145,George Grewal,919500651061,george.grewal820@gmail.com,1008,"H.No. 937 Sanghvi, Kolkata-341918",168280.6875,528,Student,Not Applicable,04-02-1998,Male,Bachelors
146,Idika Pau,919479750376,idika.pau892@outlook.com,1023,"14, Wable Chowk, Kavali 969155",767681.75,759,Government Employee,DRDO,25-09-2005,Female,Masters
147,Veer Gera,917295268484,veer.gera97@gmail.com,1015,"25/134, Goswami Zila, Ajmer 692966",1510136.125,698,Business Owner,Own Business,10-01-1999,Male,Diploma
148,Girik Sur,918063329832,girik.sur84@outlook.com,1017,"42, Murty Street Udupi-507236",611871.9375,762,Government Employee,State Government,13-06-2000,Male,Bachelors
149,Zayyan Talwar,919931092366,zayyan.talwar522@yahoo.com,1018,"77 Butala Street, Muzaffarnagar-043842",620679.3125,791,Private Employee,Amazon,16-01-2003,Male,Bachelors
150,Vasudha Tandon,919633922877,vasudha.tandon683@hotmail.com,1011,"H.No. 85, Barman Circle Bongaigaon 613407",509921.8438,635,Self Employed,Self Employed,25-12-2002,Female,PhD
151,Lekha Pall,917535362532,lekha.pall724@hotmail.com,1007,H.No. 339 Sangha Path Tadepalligudem 330958,265400.8438,554,Student,Part-time Work,13-03-1998,Female,Masters
152,Meera Yohannan,919752303342,meera.yohannan595@gmail.com,1016,44/948 Deshmukh Zila Allahabad-223253,971592.9375,765,Government Employee,ISRO,13-02-1993,Female,Bachelors
